"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 09-Sep-2022"
"NIFTY TOTAL MARKET","9,961.35","9,961.40","9,762.05","9,904.65","9,783.25","-121.40","-1.23","6,03,46,69,353","9,95,67,04,71,998.30","9,961.40","6,252.10","3.62","13.60"
"ITI","156.00","176.80","155.00","149.30","163.25","13.95","9.34","7,52,53,074","12,65,07,94,270.14","176.80","86.55","41.86","47.29"
"INDOCO","326.40","344.00","322.15","323.90","343.50","19.60","6.05","12,36,622","41,20,42,450.40","423.90","306.40","-0.35","-5.90"
"BCG","15.20","15.20","14.50","14.50","15.20","0.70","4.83","9,97,11,062","1,51,06,22,589.30","43.65","9.35","-38.59","-63.02"
"SUNDARMFIN","2,671.95","2,980.00","2,632.00","2,659.20","2,768.90","109.70","4.13","7,54,512","2,14,12,22,059.68","2,980.00","2,125.95","6.07","22.33"
"BLUEDART","6,497.95","6,730.00","6,252.00","6,421.10","6,600.00","178.90","2.79","74,434","49,04,89,542.06","9,640.00","5,631.75","6.53","-25.94"
"JBCHEPHARM","2,858.50","3,040.00","2,853.05","2,843.55","2,921.00","77.45","2.72","6,37,194","1,88,18,95,131.54","3,040.00","1,750.00","9.11","58.31"
"ELGIEQUIP","495.90","538.90","490.55","488.75","502.00","13.25","2.71","40,58,193","2,09,56,91,447.13","623.00","357.95","-1.05","-10.85"
"TCS","3,492.00","3,589.90","3,483.00","3,480.65","3,572.60","91.95","2.64","44,76,016","15,89,13,78,645.44","3,589.90","2,926.10","3.83","11.29"
"APCOTEXIND","503.50","528.95","491.85","500.95","512.95","12.00","2.40","1,76,563","9,05,39,740.77","669.00","398.00","6.02","-16.54"
"LT","2,951.60","3,009.00","2,932.45","2,894.20","2,948.50","54.30","1.88","77,88,759","23,21,68,88,602.38","3,009.00","1,797.40","11.58","51.00"
"METROBRAND","1,075.00","1,114.35","985.55","1,069.95","1,088.90","18.95","1.77","2,34,833","25,09,68,375.43","1,127.20","736.05","0.79","32.91"
"INFY","1,482.50","1,504.00","1,477.10","1,476.45","1,501.00","24.55","1.66","67,93,161","10,13,86,56,929.28","1,672.60","1,185.30","9.42","-0.70"
"ULTRACEMCO","8,519.95","8,609.85","8,395.00","8,461.70","8,583.00","121.30","1.43","3,35,823","2,86,94,09,399.43","8,609.85","6,005.00","5.39","26.36"
"DRREDDY","5,639.95","5,717.00","5,626.00","5,613.80","5,693.00","79.20","1.41","5,16,243","2,93,12,89,703.16","5,989.70","3,997.00","-2.56","33.34"
"DIVISLAB","3,749.00","3,848.00","3,725.25","3,736.25","3,786.70","50.45","1.35","7,36,438","2,79,58,35,316.34","3,903.95","2,730.00","2.95","5.13"
"NH","1,032.00","1,048.00","1,017.75","1,028.30","1,042.00","13.70","1.33","2,89,547","29,99,62,005.59","1,076.95","683.35","5.47","47.36"
"APOLLOPIPE","684.95","708.00","676.25","676.15","685.00","8.85","1.31","3,77,088","26,07,78,977.28","790.00","437.10","-2.95","29.50"
"HONAUT","39,555.00","40,439.70","39,300.05","39,367.15","39,858.20","491.05","1.25","11,895","47,58,99,323.25","44,150.00","34,343.40","-4.97","-4.17"
"ICICIBANK","990.10","995.15","982.65","978.25","989.55","11.30","1.16","2,09,59,591","20,71,75,07,723.95","1,008.70","796.00","3.95","9.90"
"NATCOPHARM","813.30","834.00","805.30","813.30","822.45","9.15","1.13","13,26,376","1,09,08,64,677.44","928.00","502.00","-3.43","36.09"
"STARCEMENT","163.40","165.70","147.40","158.90","160.60","1.70","1.07","22,96,414","36,78,16,630.38","169.90","92.55","0.09","56.32"
"CHOLAHLDNG","1,102.25","1,119.70","1,082.05","1,098.80","1,110.05","11.25","1.02","3,33,026","36,93,82,448.42","1,119.70","511.30","20.05","67.03"
"ITC","448.90","454.30","445.60","447.20","451.00","3.80","0.85","1,44,06,441","6,49,09,66,056.96","499.70","323.25","0.53","36.51"
"SHREECEM","25,949.90","26,197.95","25,505.65","25,797.40","26,009.30","211.90","0.82","46,577","1,20,67,86,781.50","27,049.00","20,150.00","7.98","6.24"
"NESTLEIND","22,134.30","22,395.00","22,017.10","22,127.05","22,308.15","181.10","0.82","49,379","1,09,88,62,489.56","23,395.35","17,880.00","2.18","17.15"
"SANOFI","7,105.20","7,168.00","7,090.00","7,105.20","7,160.00","54.80","0.77","18,509","13,22,09,046.64","7,379.00","5,202.10","0.37","16.88"
"GRASIM","1,865.00","1,920.00","1,836.00","1,862.35","1,876.30","13.95","0.75","18,50,845","3,49,76,34,338.75","1,920.00","1,527.05","2.37","7.02"
"ISEC","635.00","642.80","632.60","632.35","637.05","4.70","0.74","7,73,145","49,23,85,124.70","652.00","416.30","1.81","22.80"
"LUPIN","1,137.95","1,174.50","1,132.05","1,126.50","1,134.75","8.25","0.73","27,99,580","3,22,33,24,428.80","1,174.50","623.00","5.72","70.29"
"SUNPHARMA","1,142.05","1,153.80","1,137.10","1,136.90","1,145.00","8.10","0.71","39,89,578","4,57,63,25,236.46","1,169.70","856.80","1.14","28.68"
"LEMONTREE","117.60","125.15","110.25","116.70","117.50","0.80","0.69","3,48,37,891","4,17,84,56,646.54","125.15","70.20","24.23","46.97"
"WESTLIFE","969.20","977.00","949.60","969.20","975.80","6.60","0.68","2,91,573","28,24,40,933.64","1,024.95","631.60","4.09","42.85"
"GLENMARK","812.00","820.00","789.00","810.95","816.10","5.15","0.64","16,40,273","1,32,87,19,546.38","836.90","363.65","1.60","109.33"
"MANKIND","1,770.00","1,798.00","1,764.55","1,770.50","1,780.00","9.50","0.54","5,64,933","1,00,78,80,017.31","1,949.00","1,242.00","-2.59","-"
"QUESS","428.15","458.80","420.00","427.10","429.00","1.90","0.44","29,15,963","1,27,95,53,724.03","674.00","337.55","2.67","-32.34"
